Book title,Author,Description,Price
"[""Сліди на дорозі""]","[""Валерій Маркус (Ананьєв)""]","[""Справжня історія війни на Сході словами очевидця. \n\n Тематика видання \n Ветеранська література. \n\n Про книгу «Сліди на дорозі» Валерія Ананьєва \n «Сліди на дорозі» — це не лише книга. Це — унікальний досвід драматичних подій, які ви зможете пережити у якості очевидця. Це —  жива книга, яку можна не""]","[""350""]"
"[""Нацистська окупація України""]","[""Володимир Гінда""]","[""У книзі на основі архівних джерел та спогадів людей висвітлено майже невідомі досі сторінки історії України — період німецької окупації. У ній читач знайде унікальну інформацію про побут українців за нацистської влади, дізнається про тогочасний кримінальний світ, корупцію поміж чиновників та""]","[""376""]"
"[""Фактор Черчилля: Як одна людина змінила історію""]","[""Боріс Джонсон""]","[""Як Вінстон Черчилль формував світову політику. \n\n Тематика книжки \n Історія, біографії \n\n Про книгу «Фактор Черчилля: Як одна людина змінила історію» Боріса Джонсона \n Безсумнівно,  Вінстон Черчилль є одним з найвидатніших політичних діячів всіх часів . Саме його рішучі дії допомогли Великій""]","[""340""]"
"[""Справа Василя Стуса. Збірка документів з архіву колишнього КДБ УРСР""]","[""Вахтанг Кіпіані""]","[""Поет і Громадянин Василь Стус (1938–1985) не зміг побувати на презентації жодної зі своїх книжок. Бо в Україні його не друкували — збірки віршів ходили по руках у самвидавному вигляді, а публікували їх лише за кордоном. Участь у русі незгідних з русифікаторською й антиукраїнською""]","[""320""]"
"[""\""Я змішаю твою кров із вугіллям\"". Зрозуміти український Схід""]","[""Олександр Михед""]","[""#хочузрозумітисхід #щосьнасувається  \n\n Тематика \n Культурологія, публіцистика, художній репортаж. \n\n Про книжку \n Наприкінці 2016 року Олександр Михед вирушив у подорож шістьма містами\nДонецької та Луганської областей, досліджуючи тамтешнє життя, а також\nісторії, заховані в архівах. Проте""]","[""260""]"
"[""Велика президентка маленької країни. Історія Далі Грибаускайте""]","[""Дайва Ульбінайте""]","[""«Годі здригатися». Життєва філософія легендарної першої\nпрезидентки Литви. \n\n Тематика книги  \n\n Біографія, політика, міжнародні відносини, жіноче лідерство, мотивація. \n\n Опис книги \""Велика президентка маленької країни. Історія Далі Грибаускайте\"" Дайви Ульбінайте  \n\n Якщо Марґарет Тетчер""]","[""270""]"
"[""Збагнути Росію. Свідчення очевидців""]","[""Олександр Палій""]","[""ПРО ЩО КНИЖКА \""ЗБАГНУТИ РОСІЮ\"" \n Ця книга — зібрання свідчень очевидців, представників різних епох: послів, співробітників дипломатичних місій, офіцерів, купців — про країну, що нині зветься Росією. \n Цікаво, що російська цензура не хотіла таких свідчень. Російські переклади іноді""]","[""300""]"
"[""Останній командир УПА. Життя і боротьба Василя Кука""]","[""Аліна Понипаляк""]","[""«Останній командир УПА. Життя і боротьба Василя Кука» Аліни Понипаляк \n\n Тематика книги  \n\n Історія України, ХХ століття, національно-визвольна боротьба. \n\n Опис книги Останній командир УПА. Життя і боротьба Василя Кука  \n\n Є люди-епохи, а є люди — кілька епох. Такою особистістю був останній""]","[""230""]"
"[""СковороДАР. Життя, творчість, спадок""]","[""Назар Федорак""]","[""Унікальне ювілейне видання дозволить пересічному читачеві скласти, а знавцеві — поглибити цілісне уявлення про постать нашого видатного земляка, його життя, цінності та спадок.   Книга містить детальну хронологічну таблицю, ґрунтовний і пристрасний художній життєпис (автор — Назар Федорак),""]","[""551""]"
"[""Щоденник книгаря""]","[""Шон Байзелл""]","[""Кумедні мемуари, присвячені одному року роботи власника книгарні у маленькому містечку Шотландії. \n Тематика \n Мемуари, книжкова справа. \n Про книжку \n  «Щоденник книгаря»  описує рік із життя букіністичної книгарні в Шотландії. Перед нами постають безлюдні пагорби, кілометри""]","[""270""]"
"[""Як Україна втрачала Донбас""]","[""Денис Казанський, Марина Воротинцева""]","[""«Як Україна втрачала Донбас» – це новітня історія двох областей України, Донецької та Луганської. Це хронологія подій становлення потужних фінансово-політичних кланів на тлі економічної катастрофи краю, російської експансії та витоків сепаратизму. Книга про те, як могутні донбаські клани спочатку""]","[""350""]"
"[""Моє життя""]","[""Ґолда Меїр""]","[""Життєпис першої жінки — прем'єр-міністра Ізраїлю. \n\n Тематика книги  \n\n Біографія, політологія, історія, міжнародні відносини, жіноче лідерство, Ізраїль. \n\n Опис книги Книга \""Моє життя\"" Ґолди Меїр  \n\n\n «Моє життя» — автобіографія першої жінки - прем’єр-міністра Ізраїлю Ґолди\nМеїр. Це відверта""]","[""360""]"
"[""Війна 2022: щоденники, есеї, поезія""]",[],"[""Війна 2022: щоденники, есеї, поезія   24 лютого відбувся черговий акт російської агресії — повномасштабне вторгнення, що змінило життя не тільки України, а й усього світу. Війна принесла українцям багато горя, жаху, непоправних втрат, проте на тлі страшних випробувань укріпилися жага Перемоги та""]","[""380""]"
"[""Моє життя та робота""]","[""Генрі Форд""]","[""Тематика \n Менеджмент, історія автомобілебудування, гроші, великий бізнес. \n Про книгу \n Про Генрі Форда ще за його життя складали легенди, та й досі певні факти його біографії не є остаточно підтвердженими чи спростованими. Проте, незаперечним залишається те, що сенсом його життя була робота.""]","[""230""]"
