Book title,Author,Description,Price
"[""Атлант розправив плечі (комплект з трьох книг у футлярі)""]","[""Айн Ренд""]","[""\"" «Атлант розправив плечі» — випробувана часом класика на перетині нон-фікшн та художньої літератури. Вона стоїть на чільних місцях у книжкових шафах по всьому світу уже понад 60 років. \n  Комплект із трьох книг у футлярі «Атлант розправив плечі» — це повне""]","[""900""]"
"[""9  листопада""]","[""Колін Гувер""]","[""Як знати, що кохання справжнє? А який він — любовний поцілунок як у книжках? Як вісімнадцятирічним зрозуміти, що ця хімія гормонів переросте в щире кохання на все життя? І чи можна пробачити тому, хто збрехав ще в день знайомства? Ось на ці запитання шукають відповіді Феллон і Бен, які""]","[""400""]"
"[""Атлант розправив плечі. Частина перша. Несуперечність""]","[""Айн Ренд""]","[""Тематика  \n Індивідуалізм, психологія творчості, приватна власність, великий бізнес. \n  Про книгу  \n «Атлант розправив плечі» – magnus opus Айн Ренд, який авторка писала впродовж 12 років, став її найгучнішим бестселером, одним із найвпливовіших художніх творів світової""]","[""250""]"
"[""Абрикосова книгарня""]","[""Ореста Осійчук""]","[""Сімейні таємниці та плетива долі крізь століття...  \n\n Тематика книги  \n\n Художня література, родинна сага.  \n\n Опис книги \""Абрикосова книгарня\"" Орести Осійчук  \n\n Марія Фариняк через злидні змушена віддати сина, дев'ятирічного Михайла на виховання родичам покійного чоловіка: вуйкові Стефану,""]","[""240""]"
"[""Інтернат""]","[""Сергій Жадан""]","[""Війна завжди приходить несподівано. Просто посеред розумієш, що чуєш звук пострілів та бачиш вогонь у вікні, і звичний хід днів безповоротно порушується. Тепер настав час боротися за власне виживання та вирішити, за якими барикадами доведеться опинитися.  Саме такий вибір доведеться зробити Павлу,""]","[""320""]"
"[""1984""]","[""Джордж Орвелл""]","[""Написаний понад 70 років тому, цей твір виявився пророчим: образ влади, яка намагається контролювати хід історії, незмінно актуальний. \n Розділ літератури \n Художня література, антиутопія. \n Сюжет книги «1984» Джорджа Орвелла \n Вінстон Сміт дотримується лінії партії та з кожною написаною неправдою""]","[""180""]"
"[""Джерело""]","[""Айн Ренд""]","[""Роман «Джерело» Айн Ренд — світовий бестселер, вперше опублікований у 1943 році в США. На сьогодні ця книжка вважається одним із найвідоміших творів американської літератури. За романом 1949-го року був знятий однойменний фільм, сценарій до якого написала сама Ренд, а головну роль""]","[""290""]"
"[""Доця""]","[""Тамара Горіха Зерня""]","[""Ця книга про любов. У ній немає жодного слова на \""лю...\"", але вона про любов. Про магію, не лубочну, розтиражовану з екранів телевізора, а справжню, від роду і кореня, коли пірнаєш з головою у Прадавній Океан і виринаєш звідти з рибиною в зубах. І ще про відвагу.  Про безумовну відвагу знайти своє,""]","[""440""]"
"[""Гімн""]","[""Айн Ренд""]","[""Тематика книги \n Художня література, антиутопія, індивідуалізм. \n Про книжку  \n Дистопічне суспільство, у якому заборонено слово «Я», а люди не мають імен. Лячні й темні часи доведеного до безглуздя егалітаризму. Постіндустріальний світ, що з вершин технологічного поступу скотився""]","[""190""]"
"[""Вік червоних мурах""]","[""Таня П'янкова""]","[""ТЕМАТИКА  \n Сучасна українська проза, художня література, Голодомор 1932–1933 років. \n   Третя премія «Коронації слова» 2021 року   \n  ПРО КНИЖКУ \""ВІК ЧЕРВОНИХ МУРАХ\""  \n Жорна життя перемелюють людей на борошно, і ніхто не знає, що виліпить із нього час... Сім’я""]","[""240""]"
"[""Веріті""]","[""Колін Гувер""]","[""Лоувен — молода письменниця, в якої ні цента за душею. Та одного дня до неї звертається Джеремі Кроуфорд, чоловік Веріті — авторки романів-бестселерів. Джеремі пропонує Лоувен завершити цикл книжок Веріті, адже та паралізована після автокатастрофи. Лоувен приїжджає до будинку Кроуфордів, щоб""]","[""406""]"
"[""Ми, живі""]","[""Айн Ренд""]","[""Тематика книги  \n\n Художня література \n\n Опис книги \""Ми, живі\"" Айн Ренд \n\n\n Головна героїня, волелюбна Кіра Арґунова, щосили намагається вирватися з\nглейких обіймів системи й порятувати коханого Лео. Але це нестерпно важко у\nсвіті, де добро і зло зліпилися в одну почвару, вчорашні борці стали""]","[""270""]"
"[""Різдвяна сукня""]","[""Кортні Коул""]","[""Романтична історія про магію Різдва. Меґан Джулліард працює у модному журналі в Нью-Йорку і мріє стати дизайнеркою одягу. Але все змінюється в одну мить, вона змушена повернутися до Чикаго, свого рідного міста і перейняти на себе управління багатоквартирним будинком, чим займався її покійний""]","[""380""]"
"[""Дюна""]","[""Френк Герберт""]","[""Подарункове видання, збільшений формат, закладка-лясе.  \n  Неймовірні кольорові ілюстрації.  \n  Передмова Брайана Герберта.  \n  Карта світу Дюни.  \n «Дюна» зробила Френка Герберта відомим на весь світ і, обігнавши в рейтингах навіть «Володаря перснів», виборола престижні""]","[""385""]"
"[""СковороДАР. Життя, творчість, спадок""]","[""Назар Федорак""]","[""Унікальне ювілейне видання дозволить пересічному читачеві скласти, а знавцеві — поглибити цілісне уявлення про постать нашого видатного земляка, його життя, цінності та спадок.   Книга містить детальну хронологічну таблицю, ґрунтовний і пристрасний художній життєпис (автор — Назар Федорак),""]","[""551""]"
"[""І де був той розум?""]","[""Л. Дж. Шен""]","[""У кожного з нас у душі йде війна між світлом і темрявою. Ніхто не живе без проблем і розчарувань. І навіть у багатої розкішної білявки є свої секрети. І у футбольного капітана, який вирізає в сорочках дірки навпроти серця, теж. У кожного з нас — своя історія, а в ній є розділи, які ми не хотіли б""]","[""300""]"
"[""Велич і ницість. Історія про Черчилля, його родину та спротив під час Лондонського...""]","[""Ерік Ларсон""]","[""Одна з найкращих книжок року Time • Vogue • Fortune • Bloomberg \n Бестселер New York Times \n У США продано понад 9 мільйонів примірників \n  ТЕМАТИКА  \n Історія, біографії, політологія, біографія Черчилля, Друга світова війна. \n  ПРО КНИЖКУ \""ВЕЛИЧ І НИЦІСТЬ\""  \n Це історія про""]","[""480""]"
"[""Соловей (оновл. вид.)""]","[""Крістін Генна""]","[""Книга є перевиданням вже відомої вам \n  «Соловей»  \n Книга року за версією Wall Street Journal \n Бестселер New York Times \n  ТЕМАТИКА  \n Історичний роман, Друга світова війна, Франція, материнство, кохання. \n  ПРО КНИЖКУ  \n «Соловей» — життєствердна і""]","[""280""]"
"[""Кайдашева сім'я. Серія \""Світовид\""""]","[""Іван Нечуй-Левицький""]","[""«Кайдашева сім’я» — реалістична соціально-побутова повість класика української літератури Івана Нечуя-Левицького. У творі описано події, що відбувалися у великій сільській родині Кайдашів. Конфлікти усередині сім’ї зображено з гумором, проте добре ставлення до сварливих Кайдашів не перешкоджає""]","[""231""]"
"[""Наодинці з собою""]","[""Марк Аврелій""]","[""В літературі середньовічної Візантії поганин Марк Аврелій постає обізнаним у багатьох науках мудрецем і сповненим чеснот праведником, якому мало що бракує до навернення в істинну віру. Ренесансна Європа вбачала в Маркові Аврелієві досконалий взірець правителя-гуманіста, чия розсудливість в""]","[""250""]"
"[""Забуття (нова обкл.)""]","[""Таня Малярчук""]","[""Що таке час, як не кит, який поглинає все, зрівнюючи у бездонному череві геніїв і невдах, шляхетних добродіїв і політичних злочинців. Скільки людських життів непересічних українців стали тим заковтнутим планктоном. Їх неможливо дістати із забуття, хіба що хтось із живих відчує нагальну потребу""]","[""200""]"
"[""Лицар свободи""]","[""Джохар Дудаєв""]","[""Книга «Лицар Свободи» порівнювана з хірургічним скальпелем, який у вправних руках лікаря розтинає тіло Епохи. Погляду читача розкривається внутрішня анатомія доби, з її життєдайними артеріями, пухлинами та антитілами. І не дивно, адже головним суб’єктом ефірного мовлення тексту є постать Джохара""]","[""307""]"
"[""Захар Беркут""]","[""Іван Франко""]","[""Від титана вітчизняної літератури   \n\n    Класичне українське фентезі   \n\n\n    Екранізація із зірками світового масштабу   \n\n  Коли легенди оживають \n\n  Було се 1241 року. За сивої давнини, коли ще люди були інакші, а земля — могутніша. І жив у той час славний ватажок вільних тухольців — мудрий""]","[""140""]"
"[""Уроки хімії. Вечеря о шостій""]","[""Бонні Ґармус""]","[""Бестселер The New York Times  \n  Вибір Американського Книжкового Клубу  \n  Рекомендують до читання The Washington Post та People Magazine  \n  Apple TV+ займається екранізацією роману у вигляді серіалу, в головній ролі Брі Ларсон («Капітан Марвел», «Кімната» тощо)""]","[""265""]"
