Book title,Author,Description,Price
"[""Нацистська окупація України""]","[""Володимир Гінда""]","[""У книзі на основі архівних джерел та спогадів людей висвітлено майже невідомі досі сторінки історії України — період німецької окупації. У ній читач знайде унікальну інформацію про побут українців за нацистської влади, дізнається про тогочасний кримінальний світ, корупцію поміж чиновників та""]","[""376""]"
"[""Моссад. Найвидатніші операції ізраїльської розвідки""]","[""Міхаель Бар-Зохар, Ніссім Мішаль""]","[""На сторожі Ізраїлю: про що мовчить знаменита розвідка. \n Тематика книги \n Історія, міжнародні відносини, розвідка, Ізраїль, Моссад. \n Про книжку \n Ізраїльський «Моссад» відомий як одна з найефективніших спецслужб світу. Але хто і як ще на зорі існування відомства намагався перетворити""]","[""360""]"
"[""Від бобра до фазана: їжа західноєвропейського Середньовіччя""]","[""Стефанія Демчук""]","[""Оригінальні рецепти із середньовічних кулінарних книг занурять вас у атмосферу королівського бенкету: смажені павичі та курки, які видихають полум'я, пироги із запеченими у них живими птахами, м’ясо з цукром, міноги та дельфіни.   Також у книзі на вас чекає спростування численних міфів щодо""]","[""400""]"
"[""Перспективи української революції""]","[""Степан Бандера""]","[""«Книга, яка прикрасить бібліотеку кожного українця». (Володимир В’ятрович) \n Тематика книги \n Історія України, політологія, національно-визвольна боротьба, ХХ століття. \n Про книгу \n  «Перспективи Української Революції» — це зібрання статей Степана Бандери,""]","[""420""]"
"[""Посібник рейнджера. Не для слабких чи легкодухих""]",[],"[""Ця книга є другим накладом видання \""Посібник рейнджера. Не для слабких чи легкодухих\"", яке можуть придбати всі охочі. \n   Перший наклад  \""Посібника рейнджера\"" у 2000 примірників, 200 000 грн на друк якого зібрані завдяки донатам, буде безкоштовно переданий на потреби українського""]","[""234""]"
"[""Подолати минуле: глобальна історія України""]","[""Ярослав Грицак""]","[""Досягнувши 30-річчя незалежності, Україна все ще шукає той шлях, який дозволить вийти на траєкторію стабільного розвитку. Що допоможе країні знайти вихід із кризи сучасності і змінюватися зсередини? Тільки дискусія. Чесна, об’єднуюча навколо спільної мети та цінностей. Щоби взяти на себе""]","[""680""]"
"[""Фактор Черчилля: Як одна людина змінила історію""]","[""Боріс Джонсон""]","[""Як Вінстон Черчилль формував світову політику. \n\n Тематика книжки \n Історія, біографії \n\n Про книгу «Фактор Черчилля: Як одна людина змінила історію» Боріса Джонсона \n Безсумнівно,  Вінстон Черчилль є одним з найвидатніших політичних діячів всіх часів . Саме його рішучі дії допомогли Великій""]","[""340""]"
"[""Після війни. Історія Європи від 1945 року""]","[""Тоні Джадт""]","[""Відбиток епохи на 900 сторінках. \n Напрямок книги \n Всесвітня історія, політологія, Європа, євроінтеграція. \n Про книжку «Після війни. Історія Європи від 1945 року» Тоні Джадта \n Якщо сучасні автори видають книжки за три місяці, то Тоні Джадт присвятив своїй праці 10 років. Він""]","[""560""]"
"[""Нотатки з кухні «переписування історії»""]","[""Володимир В'ятрович""]","[""Повернімо країні власну історію! \n\n Тематика книги  \n\n Історія, есеїстика, інтерв’ю, національна ідентичність, Голодомор, УПА, Друга\nСвітова війна, Помаранчева революція, Євромайдан. \n\n Опис книги \""Нотатки з кухні «переписування історії»\"" Володимира В’ятровича \n\n Історик Володимир В’ятрович зібрав""]","[""350""]"
"[""Справа Василя Стуса. Збірка документів з архіву колишнього КДБ УРСР""]","[""Вахтанг Кіпіані""]","[""Поет і Громадянин Василь Стус (1938–1985) не зміг побувати на презентації жодної зі своїх книжок. Бо в Україні його не друкували — збірки віршів ходили по руках у самвидавному вигляді, а публікували їх лише за кордоном. Участь у русі незгідних з русифікаторською й антиукраїнською""]","[""320""]"
"[""Козацькі війни кінця XVI ст. в Україні""]","[""Сергій Леп'явко""]","[""Книга присвячена першому й одному з найбільших козацьких рухів в історії України. У ній докладно розглянуто причини польсько-козацького конфлікту, повстання Криштофа Косинського 1591–1593 рр., молдавські походи 1594–1595 рр, міжнародні контакти козацтва, його діяльність на території України та""]","[""320""]"
"[""Ми — Bellingcat. Онлайн-розслідування міжнародних злочинів та інформаційна війна з...""]","[""Еліот Гіґґінз""]","[""ТЕМАТИКА КНИЖКИ \""МИ - BELLINGCAT. ОНЛАЙН-РОЗСЛІДУВАННЯ МІЖНАРОДНИХ ЗЛОЧИНІВ ТА ІНФОРМАЦІЙНА ВІЙНА З РОСІЄЮ\"" \n Незалежна журналістика, онлайн-розслідування, інформаційні війни. \n ПРО КНИЖКУ ЕЛІОТА ГІҐҐІНЗА \n Чи може група волонтерів, маючи лише доступ до інтернету, протидіяти Путіну, Асаду й""]","[""260""]"
"[""\""Я змішаю твою кров із вугіллям\"". Зрозуміти український Схід""]","[""Олександр Михед""]","[""#хочузрозумітисхід #щосьнасувається  \n\n Тематика \n Культурологія, публіцистика, художній репортаж. \n\n Про книжку \n Наприкінці 2016 року Олександр Михед вирушив у подорож шістьма містами\nДонецької та Луганської областей, досліджуючи тамтешнє життя, а також\nісторії, заховані в архівах. Проте""]","[""260""]"
"[""Тактика легкої піхоти для малих підрозділів""]","[""Крістофер Ларсен""]","[""Збираємо 300 000 грн на підготовку та друк накладу 3000 примірників важливої книжки для Українського Війська.  \n російсько-Українська війна — це війна не за територію. Це війна за існування української нації. Перемога буде за нами! Чимало наших захисників - вперше на війні і""]","[""300 000""]"
"[""Мальована історія Незалежності України""]","[""Брати Капранови""]","[""Незалежність не впала з неба – державницька традиція живе на наших землях зі скіфських часів і фактично не переривалася до 1991-го. Короткий і зрозумілий виклад подій минулого разом із мальованими історіями дозволить читачам легко зорієнтуватися у такому складному питанні, як походження Української""]","[""294""]"
"[""Тотальний опір. Інструкція з ведення малої війни для кожного. Частина 1""]","[""Майор Ганс фон Дах""]","[""Легендарна книга швейцарського воєнного експерта майора Ганса дон Даха є чудовим посібником, метою якого є навчити, як перемагати навіть тоді, коли супротивником є, здавалося б, непереможна і суттєво переважаюча військова потуга. Автор розкриває моральні засади, стратегічні цілі, тактику і бойові""]","[""220""]"
"[""Пилип Орлик і мазепинці. Джерела""]",[],"[""До 350-річчя гетьмана Пилипа Орлика.   До збірки увійшло листування Пилипа Орлика та Івана Мазепи з тогочасними політичними та державними діячами Європи, яке розкриває обставини та зміст перемовин гетьмана Мазепи щодо формування європейської коаліції, спрямованої проти Москви, та низка інших""]","[""446""]"
"[""Велика президентка маленької країни. Історія Далі Грибаускайте""]","[""Дайва Ульбінайте""]","[""«Годі здригатися». Життєва філософія легендарної першої\nпрезидентки Литви. \n\n Тематика книги  \n\n Біографія, політика, міжнародні відносини, жіноче лідерство, мотивація. \n\n Опис книги \""Велика президентка маленької країни. Історія Далі Грибаускайте\"" Дайви Ульбінайте  \n\n Якщо Марґарет Тетчер""]","[""270""]"
"[""Чорний лебідь. Про (не)ймовірне у реальному житті (нова обкл.)""]","[""Насім Ніколас Талеб""]","[""Одна з найвпливовіших книжок, написаних після Другої світової війни. \n  Ви переглядаєте оновлене видання книги   \n   «Чорний лебідь. Про (не)ймовірне у реальному житті» Насіма Талеба   \n Тематика видання \n Філософія, математика, теорія ймовірності. \n Про книжку «Чорний""]","[""270""]"
"[""Українська звичаєва культура""]","[""Микола Ткач""]","[""Наукове видання є наслідком тривалої праці відомого етнолога М. М. Ткача. На основі значного фахового матеріалу здійснено ґрунтовне комплексне дослідження з традиційної культури українців, зокрема звичаєвої та обрядової. Концепція автора визначається усвідомленням природи традиційної культури та""]","[""510""]"
"[""Від Червоного терору до мафіозної держави. Спецслужби Росії в боротьбі за світове...""]","[""Юрій Фельштинський, Володимир Попов""]","[""  \n ТЕМАТИКА КНИГИ \n Історія, політологія, Росія, спецслужби, КПРС, КДБ, ФСБ. \n ОПИС КНИГИ \""ВІД ЧЕРВОНОГО ТЕРОРУ ДО МАФІОЗНОЇ ДЕРЖАВИ. СПЕЦСЛУЖБИ РОСІЇ В БОРОТЬБІ ЗА СВІТОВЕ ПАНУВАННЯ (1917-2036)\"" ЮРІЯ ФЕЛЬШТИНСЬКОГО ТА ВОЛОДИМИРА ПОПОВА \n Ця книжка розповідає про історію захоплення влади""]","[""360""]"
"[""Цивілізація. Як Захід став успішним""]","[""Ніл Ферґюсон""]","[""За книжкою «Цивілізація», яка стала бестселером New York Times, знято серію телепрограм на BBC. Журнал Time визнав її автора одним із найвпливовіших людей світу. \n  ТЕМАТИКА  \n Історія, культура, політика, економіка, цивілізації, Захід. \n  ПРО КНИЖКУ  \n Ніл Ферґюсон зауважує: «Ще""]","[""290""]"
"[""Збагнути Росію. Свідчення очевидців""]","[""Олександр Палій""]","[""ПРО ЩО КНИЖКА \""ЗБАГНУТИ РОСІЮ\"" \n Ця книга — зібрання свідчень очевидців, представників різних епох: послів, співробітників дипломатичних місій, офіцерів, купців — про країну, що нині зветься Росією. \n Цікаво, що російська цензура не хотіла таких свідчень. Російські переклади іноді""]","[""300""]"
"[""Як зруйнувати Америку за три прості кроки""]","[""Бен Шапіро""]","[""Тематика книги \n Політологія, економіка, соціологія, історія США, світоглядна література. \n Опис книги \""Як зруйнувати Америку за три прості кроки\"" Бена Шапіро \n США переживають чи не найбільшу поляризацію в суспільстві за останні часи. Протести Black Lives Matter та Antifa у 2020 році""]","[""270""]"
"[""Великосвітські мануфактури князів Радзивіллів ХVІІІ–ХІХ століть на теренах Східної...""]","[""Ольга Школьна""]","[""Дослідження присвячене розгляду старосвітських мануфактур ХVІІІ–ХІХ століть князів Радзивіллів на теренах Східної Європи (землі сучасних України, Білорусі та Польщі). Проаналізовано фарфоро-фаянсові підприємства у Жовкві, Глинсько, Бялій Подлясці, Свержені, Неборові; скляні, кришталеві, дзеркальні,""]","[""520""]"
"[""Брама Європи""]","[""Сергій Плохій""]","[""Автор книги Сергій Плохій — професор Гарвардського університету, один з провідних спеціалістів світу з історії України та Східної Європи. За книгу «Брама Європи» отримав національну премію імені Тараса Шевченка в номінації «Публіцистика».  \n\n  Спеціальний проект до 25-річчя Незалежності \n  За""]","[""310""]"
"[""Вража ущелина""]","[""Олег Бондар""]","[""Від знайомого офіцера контррозвідки шеф «Есмеральди» (фірми, яка займається розслідуваннями таємничих історій) Ігор Володимирович дізнається, що під час війни поблизу села Витязівка в ущелині, яку місцеві жителі називають Вражою, безслідно зник німецький загін, який вивозив з окупованої території""]","[""401""]"
"[""Останній командир УПА. Життя і боротьба Василя Кука""]","[""Аліна Понипаляк""]","[""«Останній командир УПА. Життя і боротьба Василя Кука» Аліни Понипаляк \n\n Тематика книги  \n\n Історія України, ХХ століття, національно-визвольна боротьба. \n\n Опис книги Останній командир УПА. Життя і боротьба Василя Кука  \n\n Є люди-епохи, а є люди — кілька епох. Такою особистістю був останній""]","[""230""]"
"[""Коротка історія майже всього на світі. Від динозаврів і до космосу""]","[""Білл Брайсон""]","[""Науково-популярний бестселер, що здобув відзнаку Aventis Лондонського королівського товариства та Міжнародну премію Рене Декарта.\n  ТЕМАТИКА \n Популярна наука, фізика, біологія, астрономія.\n  ПРО КНИЖКУ \n Якщо у школі ви захоплено розглядали схему внутрішньої будови Землі чи із цікавістю вивчали""]","[""250""]"
"[""Керівництво з бойової роботи вогневих підрозділів артилерії""]",[],"[""Збираємо кошти на друк перших 3000 примірників \""Керівництва з бойової роботи вогневих підрозділів артилерії\"", що будуть безоплатно розповсюджені серед військових.  \n У Керівництві з бойової роботи вогневих підрозділів артилерії викладені дії особового складу, пов’язані з вибором,""]","[""135 000""]"
"[""Ідентичність. Потреба в гідності й політика скривдженості""]","[""Френсіс Фукуяма""]","[""Політика ідентичності = криза демократії та розквіт\nпопулізму? \n\n Тематика \n Історія, політологія, право, демократія, інститути. \n\n Про книжку «Ідентичність. Потреба в гідності й політика скривдженості» Френсіса Фукуями \n Що криється за бажанням жінок отримувати не менше, ніж чоловіки? Визнання""]","[""250""]"
"[""Як Україна втрачала Донбас""]","[""Денис Казанський, Марина Воротинцева""]","[""«Як Україна втрачала Донбас» – це новітня історія двох областей України, Донецької та Луганської. Це хронологія подій становлення потужних фінансово-політичних кланів на тлі економічної катастрофи краю, російської експансії та витоків сепаратизму. Книга про те, як могутні донбаські клани спочатку""]","[""350""]"
"[""Олександр Довженко. Том 1""]","[""Юрій Шаповал""]","[""Ця книжка містить розповідь про незнаного Олександра Довженка (1894–1956). Учасник боротьби за незалежну Україну, згодом член партії «боротьбистів», а потім дипломат, художник, письменник і кінорежисер зі світовим ім’ям, він опинився під щільним багаторічним наглядом комуністичних спецслужб. Вони""]","[""601""]"
"[""Історія України-Русі""]","[""Микола Аркас""]","[""Репринт краківського видання 1912 року, який не було\nцензуровано. \n\n Тематика книги  \n Історія, культура, націотворення. \n\n ПРО КНИЖКУ \n Книжка, яку ви тримаєте, — це репринт другого (позацензурного)\nвидання, яке вийшло у Кракові 1912 року. Готували його до друку\nБогдан Лепкий і В’ячеслав""]","[""250""]"
"[""Олександр Довженко. Том 2""]","[""Юрій Шаповал""]","[""Ця книжка містить розповідь про незнаного Олександра Довженка (1894–1956). Учасник боротьби за незалежну Україну, згодом член партії «боротьбистів», а потім дипломат, художник, письменник і кінорежисер зі світовим ім’ям, він опинився під щільним багаторічним наглядом комуністичних спецслужб. Вони""]","[""701""]"
"[""Невідкладна військова хірургія""]",[],"[""На проєкт \""Невідкладна військова хірургія\"" зібрано 236886 грн. Було надруковано 3000 примірників. Ми отримали наклад в березні, і з того часу розповсюдили серед військових лікарів, госпітальєрів, інструкторів з тактичної медицини понад 2790 примірників. \n  Дякуємо кожному доброчинцю. Частину""]","[""236 886""]"
"[""Національна соборність і Українська революція 1914-1923 рр. Історіографічні сильветки""]","[""Володимир Великочий""]","[""""]","[""231""]"
"[""Історія України від діда Свирида. Книга перша""]","[""Дід Свирид""]","[""Перший том дотепної та інформативної історії України від перших людей до Ярослава Мудрого. \n\n Тематика книги \n Історія. \n \n Опис книжки «Історія України від діда Свирида. Книга перша» \n  Вивчати історію надзвичайно легко й цікаво!  Читаючи, як первісні архантропи дістались до Карпат, якого""]","[""315""]"
"[""Український націоналізм. Том 2.  Ідеологія. Філософія""]",[],"[""До другого тому творів відомого ідеолога та Провідника ОУН, автора Декалогу українського націоналіста Степана Ленкавського ввійшли праці, що становлять ідеологічну та філософську частину його творчої спадщини. Вони широким спектром охоплюють вплив діяча на становлення світоглядних основ ОУН,""]","[""315""]"
"[""\""Чому нації занепадають? Походження влади, багатства і бідності\"" та \""Вузький...""]","[""Дарон Аджемоґлу, Джеймс Робінсон""]","[""Про книгу «Чому нації занепадають» \n  \""Чому нації занепадають\""  — результат п’ятнадцятирічного дослідження історії розвитку країн по всьому світу. Її автори, науковці Дарон Аджемоґлу та Джеймс Робінсон, зробили вичерпні висновки щодо того, що насправді рухає людство вперед — активне громадянське""]","[""468""]"
